1 2 143.60606079331944  [[-0.196116, -0.980581, 333.217268], [0.980581, -0.196116, 185.508748], [0, 0, 1]] line 
1 4 124.20397232795193  [[0.371391, 0.928477, 162.592592], [-0.928477, 0.371391, 175.896542], [0, 0, 1]] line 
2 3 202.49807003150215  [[-0.524412, 0.851465, 246.190890], [-0.851465, -0.524412, 355.555685], [0, 0, 1]] line 
2 3 202.49807003150215  [[-0.524412, 0.851465, 246.549437], [-0.851465, -0.524412, 356.188196], [0, 0, 1]] line 
2 3 182.1087261962872  [[-0.499722, 0.866186, 239.470858], [-0.866186, -0.499722, 359.066121], [0, 0, 1]] line 
2 5 124.84521975780129  [[0.447214, 0.894427, -123.667715], [-0.894427, 0.447214, 49.446519], [0, 0, 1]] line 
2 9 105.42164015048215  [[0.000000, 1.000000, -163.000000], [-1.000000, 0.000000, 402.000000], [0, 0, 1]] line 
3 6 140.8460028810342  [[-0.894427, 0.447214, 449.455875], [-0.447214, -0.894427, 381.706651], [0, 0, 1]] line 
3 6 141.18343217940009  [[-0.894427, 0.447214, 449.133273], [-0.447214, -0.894427, 383.058506], [0, 0, 1]] line 
4 5 202.88991049009513  [[-0.247833, -0.968803, 170.557905], [0.968803, -0.247833, 92.662202], [0, 0, 1]] line 
4 7 105.48902280000894  [[-0.996546, -0.083045, 119.702863], [0.083045, -0.996546, 342.980280], [0, 0, 1]] line 
4 9 160.31608268097955  [[0.263117, -0.964764, 304.974074], [0.964764, 0.263117, 183.363132], [0, 0, 1]] line 
4 9 110.42795683431599  [[0.316228, -0.948683, 300.987618], [0.948683, 0.316228, 177.434731], [0, 0, 1]] line 
4 9 171.9695763447669  [[0.242536, -0.970143, 306.279292], [0.970143, 0.242536, 185.476108], [0, 0, 1]] line 
4 9 128.8750156578454  [[0.231621, -0.972806, 306.720782], [0.972806, 0.231621, 185.982535], [0, 0, 1]] line 
4 9 119.7905761350621  [[-0.274721, 0.961524, 221.731045], [-0.961524, -0.274721, 262.081020], [0, 0, 1]] line 
4 9 119.7905761350621  [[-0.274721, 0.961524, 222.428625], [-0.961524, -0.274721, 262.322277], [0, 0, 1]] line 
4 9 119.7905761350621  [[-0.274721, 0.961524, 223.433637], [-0.961524, -0.274721, 261.299212], [0, 0, 1]] line 
4 9 108.47436084406299  [[-0.316228, 0.948683, -61.634702], [-0.948683, -0.316228, 135.645732], [0, 0, 1]] line 
5 6 106.27254532746322  [[-0.864789, -0.502136, 452.514910], [0.502136, -0.864789, 292.731232], [0, 0, 1]] line 
5 7 123.32387611493914  [[0.447214, -0.894427, 425.515239], [0.894427, 0.447214, -173.707876], [0, 0, 1]] line 
5 7 185.52641947183986  [[0.447214, -0.894427, 426.695579], [0.894427, 0.447214, -170.548822], [0, 0, 1]] line 
5 7 119.20765501102358  [[0.457015, -0.889459, 425.849613], [0.889459, 0.457015, -174.466636], [0, 0, 1]] line 
7 8 112.95520237524111  [[0.000000, 1.000000, 168.000000], [-1.000000, 0.000000, 277.500000], [0, 0, 1]] line 
7 8 111.93090489636398  [[0.000000, 1.000000, 169.000000], [-1.000000, 0.000000, 284.500000], [0, 0, 1]] line 
7 8 110.29402115691501  [[0.000000, 1.000000, 168.000000], [-1.000000, 0.000000, 280.500000], [0, 0, 1]] line 
7 8 139.44134158827512  [[0.000000, 1.000000, 168.000000], [-1.000000, 0.000000, 282.000000], [0, 0, 1]] line 
7 8 139.44134158827512  [[0.000000, 1.000000, 168.000000], [-1.000000, 0.000000, 282.000000], [0, 0, 1]] line 
7 8 139.44134158827512  [[0.000000, 1.000000, 168.000000], [-1.000000, 0.000000, 282.000000], [0, 0, 1]] line 
7 8 124.54003223448782  [[0.000000, 1.000000, 167.000000], [-1.000000, 0.000000, 282.000000], [0, 0, 1]] line 
7 8 124.54003223448782  [[0.000000, 1.000000, 167.000000], [-1.000000, 0.000000, 282.000000], [0, 0, 1]] line 
7 8 121.6475401072724  [[0.000000, 1.000000, 167.000000], [-1.000000, 0.000000, 278.000000], [0, 0, 1]] line 
7 8 123.60244813918548  [[0.000000, 1.000000, 167.000000], [-1.000000, 0.000000, 279.500000], [0, 0, 1]] line 
7 9 151.90640932410054  [[-0.094108, 0.995562, -148.290673], [-0.995562, -0.094108, 349.334812], [0, 0, 1]] line 
7 9 132.37630309615525  [[-0.124035, 0.992278, -142.152970], [-0.992278, -0.124035, 356.006010], [0, 0, 1]] line 
7 9 137.2413239055246  [[-0.076696, 0.997054, -151.235469], [-0.997054, -0.076696, 343.233601], [0, 0, 1]] line 
7 9 125.99687997374342  [[-0.109431, 0.993994, -145.587585], [-0.993994, -0.109431, 349.508764], [0, 0, 1]] line 
