1 2 230.56871771085537 [[-0.242536, -0.970143, 336.703743], [0.970143, -0.242536, 193.914103], [0, 0, 1]] line 
1 2 253.26923602706796 [[-0.182089, -0.983282, 338.987779], [0.983282, -0.182089, 180.674048], [0, 0, 1]] line 
1 2 355.24815903442834 [[-0.196116, -0.980581, 333.217268], [0.980581, -0.196116, 185.508748], [0, 0, 1]] line 
1 4 232.5485379741096 [[0.371391, 0.928477, 160.006632], [-0.928477, 0.371391, 178.583971], [0, 0, 1]] line 
1 4 295.92647046172704 [[0.422885, 0.906183, 159.304921], [-0.906183, 0.422885, 173.500349], [0, 0, 1]] line 
1 4 375.34860720916816 [[0.406138, 0.913812, 159.067453], [-0.913812, 0.406138, 173.260795], [0, 0, 1]] line 
1 4 358.4095587088995 [[0.406138, 0.913812, 158.762849], [-0.913812, 0.406138, 173.757226], [0, 0, 1]] line 
1 4 207.47113163130166 [[0.316228, 0.948683, 166.934055], [-0.948683, 0.316228, 180.355838], [0, 0, 1]] line 
1 4 203.59474633358764 [[0.894427, -0.447214, 265.435447], [0.447214, 0.894427, -93.230021], [0, 0, 1]] line 
1 4 200.68678355234192 [[0.316228, 0.948683, 167.096333], [-0.948683, 0.316228, 174.004949], [0, 0, 1]] line 
1 4 329.0644395287869 [[0.371391, 0.928477, 162.592592], [-0.928477, 0.371391, 175.896542], [0, 0, 1]] line 
1 4 333.0581469166584 [[0.393919, 0.919145, 160.301841], [-0.919145, 0.393919, 173.625670], [0, 0, 1]] line 
1 5 202.16458982181038 [[-0.707107, 0.707107, 240.686292], [-0.707107, -0.707107, 172.714249], [0, 0, 1]] line 
1 9 200.03666386323323 [[-0.990830, 0.135113, 238.780251], [-0.135113, -0.990830, 424.539401], [0, 0, 1]] line 
1 9 207.45080093634178 [[-0.316228, -0.948683, 489.170149], [0.948683, -0.316228, 4.567862], [0, 0, 1]] line 
1 9 203.93644492383078 [[-0.316228, -0.948683, 487.802604], [0.948683, -0.316228, 30.429216], [0, 0, 1]] line 
1 9 207.20817248911135 [[-0.316228, -0.948683, 491.597338], [0.948683, -0.316228, -6.253205], [0, 0, 1]] line 
2 3 272.40657308508196 [[-0.536875, 0.843661, 250.836411], [-0.843661, -0.536875, 360.547637], [0, 0, 1]] line 
2 3 368.50487558061167 [[-0.536875, 0.843661, 248.346833], [-0.843661, -0.536875, 357.226180], [0, 0, 1]] line 
2 3 455.12156739094604 [[-0.524412, 0.851465, 246.190890], [-0.851465, -0.524412, 355.555685], [0, 0, 1]] line 
2 3 501.119767849758 [[-0.524412, 0.851465, 246.549437], [-0.851465, -0.524412, 356.188196], [0, 0, 1]] line 
2 4 240.06625490898978 [[0.976187, -0.216930, 165.419412], [0.216930, 0.976187, -57.961969], [0, 0, 1]] line 
2 4 227.11855452458622 [[0.948683, -0.316228, 182.974342], [0.316228, 0.948683, -147.821962], [0, 0, 1]] line 
2 4 222.07965673915646 [[0.316228, 0.948683, 115.934055], [-0.948683, 0.316228, 132.355838], [0, 0, 1]] line 
2 4 225.8629665971015 [[0.948683, -0.316228, 185.986833], [0.316228, 0.948683, -136.262994], [0, 0, 1]] line 
2 4 209.08543006314017 [[0.894427, 0.447214, 78.560223], [-0.447214, 0.894427, -58.784360], [0, 0, 1]] line 
2 4 217.71315965928858 [[0.894427, -0.447214, 210.541020], [0.447214, 0.894427, -138.705098], [0, 0, 1]] line 
2 4 261.98222217959886 [[-0.242536, 0.970143, -58.159409], [-0.970143, -0.242536, 147.174791], [0, 0, 1]] line 
2 4 270.3407555198278 [[-0.196116, 0.980581, -76.345321], [-0.980581, -0.196116, 156.497887], [0, 0, 1]] line 
2 4 234.72279454937504 [[-0.242536, 0.970143, -58.672500], [-0.970143, -0.242536, 148.006899], [0, 0, 1]] line 
2 4 235.41953083044496 [[-0.173785, 0.984784, -81.568572], [-0.984784, -0.173785, 152.057110], [0, 0, 1]] line 
2 4 211.09463123314902 [[-0.919145, -0.393919, 197.630184], [0.393919, -0.919145, 54.698286], [0, 0, 1]] line 
2 4 213.7091978647017 [[-0.242536, 0.970143, -72.672500], [-0.970143, -0.242536, 164.006899], [0, 0, 1]] line 
2 4 222.23058602674394 [[0.000000, 1.000000, -98.000000], [-1.000000, 0.000000, 127.000000], [0, 0, 1]] line 
2 4 223.98347106981475 [[-0.316228, 0.948683, -56.841996], [-0.948683, -0.316228, 168.381497], [0, 0, 1]] line 
2 4 213.2693516782407 [[0.000000, -1.000000, 91.500000], [1.000000, 0.000000, 121.500000], [0, 0, 1]] line 
2 4 202.6766087776332 [[-1.000000, -0.000000, 70.000000], [0.000000, -1.000000, 264.000000], [0, 0, 1]] line 
2 4 283.1215406982295 [[-1.000000, -0.000000, 86.000000], [0.000000, -1.000000, 328.000000], [0, 0, 1]] line 
2 4 211.727954119051 [[-0.997054, -0.076696, 94.988331], [0.076696, -0.997054, 326.907386], [0, 0, 1]] line 
2 4 204.43604725012977 [[0.000000, -1.000000, 91.000000], [1.000000, 0.000000, 138.000000], [0, 0, 1]] line 
